track_name,track_id,duration_ms,explicit,track_number,album_id,album_name,album_release_date,album_total_tracks,album_type,artist_name,artist_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
Gorgeous,1ZY1PqizIl78geGM4xWlEA,209680,FALSE,8,6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,15,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.8,0.535,-6.684,0.135,0.0713,0.00000948,0.213,0.451
Getaway Car,0VE4kBnHJUgtMf0dy6DRmW,233626,FALSE,9,6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,15,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.562,0.689,-6.745,0.127,0.00465,0.00000223,0.0888,0.351
King Of My Heart,7HuBDWi18s4aJM8UFnNheH,214320,FALSE,10,6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,15,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.675,0.703,-7.902,0.0382,0.00882,0.00000221,0.0391,0.314
Dancing With Our Hands Tied,7I7JbDv63ZJJsSi24DyJrz,211506,FALSE,11,6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,15,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.624,0.691,-6.686,0.196,0.0604,0.000011,0.138,0.284
Dress,6oVxXO5oQ4pTpO8RSnkzvv,230373,FALSE,12,6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,15,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.719,0.469,-8.792,0.0533,0.0329,0,0.169,0.0851
This Is Why We Can't Have Nice Things,07NxDD1iKCHbAldceD7QLP,207133,FALSE,13,6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,15,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.567,0.789,-5.986,0.115,0.0156,0,0.382,0.438
Call It What You Want,1GwMQaZz6Au3QLDbjbMdme,203506,FALSE,14,6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,15,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.598,0.504,-9.874,0.0731,0.186,0.000221,0.34,0.252
New Year’s Day,7F5oktn5YOsR9eR5YsFtqb,235466,FALSE,15,6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,15,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.661,0.151,-12.864,0.0354,0.921,0,0.13,0.23
All Too Well,00vJzaoxM3Eja1doBUhX0P,329160,FALSE,1,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.463,0.605,-7.803,0.0293,0.0448,0.000334,0.128,0.317
Wildest Dreams,22C0JIVhFaczZ4t9heqREN,220440,FALSE,2,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.55,0.688,-7.416,0.0904,0.0703,0.00138,0.106,0.461
The Best Day,7APTsjmZbj7TFXQJAiRti4,246306,FALSE,3,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.668,0.448,-8.567,0.0285,0.638,0.0000041,0.158,0.386
Red,4V9NuhKQcUFt4cgbynHV79,223093,FALSE,4,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.605,0.899,-4.273,0.0423,0.0779,0.000124,0.0911,0.647
Holy Ground,4hCZk6WJBFQeG3P7WsyntI,202960,FALSE,5,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.627,0.816,-6.698,0.0774,0.0159,0.0022,0.0965,0.648
Teardrops On My Guitar - Radio Single Remix,7eGeUVeCEvEQrivmjl9Qn3,204706,FALSE,6,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.626,0.427,-6.993,0.0234,0.315,0,0.138,0.265
Our Song,7qGr3rjRhndRIpFUA5f2HJ,203440,FALSE,7,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.545,0.663,-5.05,0.0363,0.114,0,0.321,0.565
22,2P5gfMtCcKP0CkmgqFMyPg,232120,FALSE,8,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.66,0.732,-6.565,0.0379,0.00254,0.00146,0.0473,0.677
I Knew You Were Trouble.,2o2IVjuqRkR9hJxtPjtAP0,219720,FALSE,9,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.536,0.464,-6.761,0.0412,0.00476,0.00000274,0.0358,0.666
I Don’t Wanna Live Forever (Fifty Shades Darker),55n9yjI6qqXh5F2mYvUc2y,247160,FALSE,10,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.73,0.444,-8.418,0.0538,0.059,0.000018,0.14,0.106
Mean,5rcHBt2aNcGFWW0jaAUe1L,238693,FALSE,11,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.576,0.755,-3.982,0.0427,0.449,0,0.223,0.791
How You Get The Girl,3aSYZ4upQ6OSNos26YeVWL,247533,FALSE,12,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.764,0.657,-6.112,0.0503,0.00363,0.00899,0.0918,0.546
So It Goes...,41T04yafZVrjNq2FqvLtId,227906,FALSE,13,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.578,0.61,-7.283,0.0676,0.122,0.0000011,0.13,0.371
Fifteen,0H2UD0LfSCiRr59YMGlCuS,295320,FALSE,14,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.549,0.63,-4.436,0.027,0.07,0,0.138,0.217
Mine,6FmJKLpyCt42nP2IOVEVc2,231866,FALSE,15,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.622,0.781,-2.945,0.0302,0.00311,0.0000031,0.187,0.662
Sparks Fly,5h2sBwpUSAndjObfU3ti2r,262920,FALSE,16,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.61,0.782,-2.98,0.0309,0.041,0,0.16,0.399
State Of Grace,0YRGTdfmJPALpglAaraYUr,295720,FALSE,17,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.591,0.828,-5.895,0.0333,0.000182,0.00115,0.0879,0.383
Haunted,6CB7DczrX9ZJB9Wkjegmaq,245413,FALSE,18,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.43,0.948,-2.622,0.0605,0.0655,0,0.0612,0.371
Never Grow Up,1UPDfqsVIZLEiZeMuUsni2,292920,FALSE,19,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.714,0.309,-8.828,0.0302,0.824,0,0.136,0.546
Treacherous,0r3U7SOcoj4DIEyN44Lt5z,242760,FALSE,20,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.704,0.621,-8.086,0.0334,0.101,0.0000043,0.14,0.395
Babe,40PXEOFLJc7UIpLMrhSfW1,215106,FALSE,21,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.577,0.785,-3.266,0.102,0.0221,0,0.125,0.647
Welcome To New York,3YLA3NgzFRRa7LiHMtFPby,212600,FALSE,22,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.789,0.634,-4.762,0.0323,0.0348,0.00000169,0.302,0.658
Fearless,43sE2O3skbGBpT2tO6fzv9,242973,FALSE,23,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.603,0.717,-4.401,0.0272,0.0381,0,0.307,0.429
Enchanted,5lg33MHs1BoUtJVClw8ZpI,353253,FALSE,24,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.536,0.629,-3.907,0.0275,0.0707,0.00117,0.158,0.222
Change,5PSOWHll3h3Vy226xSJk0M,281053,FALSE,25,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.543,0.764,-4.206,0.0377,0.00418,0,0.111,0.233
Ours,0V3SNHDka1JSCP71HAzpxw,239346,FALSE,26,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.609,0.56,-7.392,0.0279,0.469,0,0.087,0.228
Out Of The Woods,0GmfiNHSgkKamYgQEMYOH3,235800,FALSE,27,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.553,0.841,-6.937,0.0397,0.000743,0.0000107,0.341,0.339
Come Back...Be Here,5hiqtrACtMJkNpaNHj0n9Z,223920,FALSE,28,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.486,0.548,-6.291,0.0256,0.00471,0.00000206,0.0997,0.22
A Place in this World,2RSYYe7LhKFxIi50T5XtUo,202080,FALSE,29,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.573,0.767,-2.929,0.0323,0.0576,0,0.327,0.438
This Love,64KRxmbqypPBlya4nxFmDn,250093,FALSE,30,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.48,0.435,-8.795,0.0319,0.679,0,0.0928,0.108
The Lucky One,24ksPWXKg1k7OOG57pufED,240266,FALSE,31,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.706,0.505,-7.639,0.0358,0.0352,0,0.13,0.561
Invisible,0kqC185OTcnuhbz4T7g5RB,205853,FALSE,32,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.608,0.384,-5.732,0.0246,0.56,0,0.165,0.217
Breathe,3oxgFdIlxFEDEJqn7k5TVN,264946,FALSE,33,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.442,0.48,-7.405,0.0281,0.416,0,0.129,0.167
Better Man,3EXetjrGgwIjDRNn6YA8sa,263613,FALSE,34,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.503,0.844,-3.648,0.0379,0.121,0,0.0974,0.508
Jump Then Fall,5zytSTR2g0I9psX2Z12ex6,238093,FALSE,35,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.617,0.699,-5.712,0.0271,0.113,0,0.074,0.827
Begin Again,2G679wnKfyhUOeNx910OXg,239426,FALSE,36,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.516,0.526,-8.349,0.0269,0.197,0.00000349,0.14,0.312
Tied Together with a Smile,4qNEi8zGIYLiMtoW8OaJdx,251213,FALSE,37,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.478,0.547,-4.948,0.0275,0.523,0,0.0728,0.238
The Story Of Us,2fF3QzbGCrtrDXIdWcg1mv,267653,FALSE,38,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.547,0.807,-3.63,0.0398,0.00556,0.000318,0.0588,0.645
Forever & Always,0QCS4NpURHvWdF1icdkfBw,226293,FALSE,39,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.607,0.829,-5.02,0.0587,0.0805,0,0.207,0.521
Hey Stephen,0TYJbIHBtmWy9ugtU9BcbE,256040,FALSE,40,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.843,0.541,-7.361,0.0318,0.191,0.00000193,0.108,0.839
Speak Now,1XLc4irbX7oQSneh6gWv3O,243346,FALSE,41,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.712,0.603,-3.753,0.0304,0.0991,0,0.102,0.714
Wonderland,0eTCaVOYLpJlSkbEi2jay4,245560,FALSE,42,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.422,0.692,-5.447,0.0549,0.0493,0.0000257,0.177,0.197
White Horse,4RMfSYDFkcz0bKoK8fHDgR,235400,FALSE,43,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.578,0.348,-8.066,0.0257,0.311,0,0.1,0.218
I'm Only Me When I'm With You,6Py8IKZqDyU8aQVrjilbJw,215600,FALSE,44,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.556,0.933,-3.685,0.0719,0.00454,0.000462,0.101,0.521
Starlight,7txpzmA69zyk50K3ZyZSzC,220600,FALSE,45,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.649,0.779,-5.798,0.0391,0.0186,0.000474,0.234,0.617
I Know Places,3qGLcmO0XnnrcpAQGZwTvA,195706,FALSE,46,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,46,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.603,0.755,-4.991,0.0709,0.243,0,0.178,0.496
Welcome To New York,33Kq0AT5rvwyE4azisG08x,212600,FALSE,1,34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,19,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.789,0.634,-4.762,0.0323,0.0348,0.00000164,0.302,0.658
Blank Space,2sC2P3BN0IXujNaaSyDmtP,231826,FALSE,2,34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,19,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.76,0.703,-5.412,0.054,0.103,0,0.0913,0.57
Style,1fo2ctLqj3zBhRQKOXprol,231000,FALSE,3,34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,19,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.588,0.791,-5.595,0.0402,0.00245,0.00258,0.118,0.487
Out Of The Woods,6Nde5KuTXyB7jlPO4upaBo,235800,FALSE,4,34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,19,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.553,0.841,-6.937,0.0396,0.000743,0.0000119,0.341,0.338
All You Had To Do Was Stay,0lmMtDQ2ElasKU2qDAE6NN,193293,FALSE,5,34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,19,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.605,0.725,-5.729,0.0323,0.00201,0.0000202,0.101,0.539
Shake It Off,3fthfkkvy9av3q3uAGVf7U,219200,FALSE,6,34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,19,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.647,0.8,-5.384,0.165,0.0647,0,0.334,0.942
I Wish You Would,1B5VzXPqMlvRw0U4HJY3dJ,207440,FALSE,7,34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,19,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.653,0.893,-5.966,0.0538,0.0158,0.0000495,0.102,0.513
Bad Blood,0yN4fNzmVnmgC0dsOoi9Wh,211933,FALSE,8,34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,19,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.646,0.794,-6.104,0.19,0.0885,0.00000616,0.201,0.287
Wildest Dreams,106R7Z57WYzBAfrXImV30y,220440,FALSE,9,34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,19,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.55,0.688,-7.416,0.0897,0.0692,0.00144,0.106,0.465
How You Get The Girl,6wfugRLamFsTRbPcCpNnP7,247533,FALSE,10,34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,19,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.765,0.656,-6.112,0.0504,0.00364,0.00868,0.0918,0.545
This Love,1kTPQnabROVkW9bUXdCGrB,250093,FALSE,11,34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,19,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.481,0.435,-8.795,0.0321,0.678,0,0.0928,0.107
I Know Places,2zfgVd034GlUvk7LqBHl6u,195706,FALSE,12,34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,19,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.602,0.755,-4.991,0.071,0.245,0,0.178,0.495
Clean,4bXCcoesMt8u99xMsbLr9U,271000,FALSE,13,34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,19,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.815,0.377,-7.754,0.0346,0.232,0,0.1,0.211
Wonderland,6iWMI5oOhWrDbLbjmwTWFq,245560,FALSE,14,34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,19,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.422,0.692,-5.447,0.0549,0.0493,0.0000257,0.177,0.197
You Are In Love,4A2LfnduSTsE8u0ecYROxE,267106,FALSE,15,34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,19,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.474,0.48,-8.894,0.0622,0.707,0.000108,0.0903,0.319
New Romantics,6rZVy6FIG7lSJQMFXHo12z,230466,FALSE,16,34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,19,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.633,0.889,-5.87,0.0715,0.00463,0.000458,0.0658,0.584
I Know Places - Voice Memo,4JQm7ebhsrt10wmrP6AfXL,216333,FALSE,17,34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,19,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.592,0.128,-17.932,0.589,0.829,0,0.527,0.15
I Wish You Would - Voice Memo,4TtyvyI42C0KFnbDZvNC8Y,107133,FALSE,18,34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,19,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.781,0.357,-16.394,0.912,0.717,0,0.185,0.645
Blank Space - Voice Memo,0yisH8r0f3Mkq34kjzUlCV,131186,FALSE,19,34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,19,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.675,0.234,-15.064,0.721,0.801,0,0.657,0.578
Welcome To New York,6qnM0XXPZOINWA778uNqQ9,212600,FALSE,1,2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,13,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.793,0.634,-4.807,0.0324,0.038,0.00000176,0.304,0.615
Blank Space,1p80LdxRV74UKvL8gnD7ky,231826,FALSE,2,2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,13,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.753,0.678,-5.421,0.0644,0.085,0.00000164,0.13,0.583
Style,4lIxdJw6W3Fg4vUIYCB0S5,231000,FALSE,3,2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,13,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.598,0.786,-5.572,0.0383,0.00253,0.0016,0.117,0.456
Out Of The Woods,5OndtwLGA9O6XHFcGm2H7r,235800,FALSE,4,2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,13,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.552,0.842,-6.938,0.0373,0.00103,0.0000117,0.337,0.343
All You Had To Do Was Stay,0dAb8TY433dl3ZfXYCLE19,193293,FALSE,5,2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,13,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.602,0.736,-5.778,0.0338,0.00196,0.0000457,0.105,0.471
Shake It Off,5xTtaWoae3wi06K5WfVUUH,219200,FALSE,6,2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,13,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.647,0.785,-5.414,0.165,0.0561,0,0.148,0.943
I Wish You Would,3wmN11qXGL0HyPojvEE1D9,207440,FALSE,7,2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,13,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.648,0.898,-5.963,0.0513,0.016,0.0000991,0.109,0.502
Bad Blood,273dCMFseLcVsoSWx59IoE,211933,FALSE,8,2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,13,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.65,0.802,-6.114,0.181,0.0871,0.00000654,0.148,0.295
Wildest Dreams,59HjlYCeBsxdI0fcm3zglw,220440,FALSE,9,2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,13,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.554,0.666,-7.414,0.0747,0.0702,0.00593,0.106,0.472
How You Get The Girl,4dYUOfmWna6DFccnz732n8,247533,FALSE,10,2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,13,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.764,0.66,-6.136,0.0494,0.00461,0.00477,0.0915,0.524
This Love,3oKMl2tJv4fdidkXUYMI5x,250093,FALSE,11,2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,13,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.475,0.459,-8.768,0.0333,0.635,0,0.101,0.0828
I Know Places,3jBMHD19RZdAqG9iFQh7xc,195706,FALSE,12,2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,13,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.596,0.763,-4.99,0.0661,0.231,0,0.2,0.507
Clean,06WgOCf0LV2h4keYXDRnuh,271000,FALSE,13,2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,13,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.81,0.379,-7.771,0.0349,0.241,0,0.113,0.22
